Pat,gene446,gene401,gene5439,gene4398,gene8415,gene7603,gene4409,gene9666,gene1207,gene697,gene2954,gene399,gene9202,gene9817,gene4372,gene3563,gene5899,CETP,gene6523,gene8670,gene2668,gene8355,gene3997,gene2432,gene6979,gene6326,gene7192,gene5726,gene3932,gene9808,gene4116,gene3795,gene1980,gene4064,gene2501,gene3083,gene1898,gene3478,gene4518,gene587,gene8453,gene156,gene2959,gene6352,gene757,gene3724,gene8846,gene4960,gene1031,gene2920,gene4363,gene1397,gene3848,gene7670,gene1776,gene8625,gene461,gene1853,gene7377
1,0.61058,1.35318,1.28852,0.963923,0.660789,0.950919,0.864979,2.10417,0.775469,1.1124,1.06776,0.789298,1.09418,0.982677,1.35386,1.15653,0.904481,0.938611,0.775151,0.890958,1.75484,0.958764,1.35444,1.20584,0.783346,3.71859,1.00853,0.707914,0.725068,1.025,1.20894,0.871788,1.41509,1.09785,1.53074,1.39921,1.56985,0.972674,0.775083,1.12109,1.21238,1.30324,1.0594,0.895393,0.839082,0.705665,1.01494,1.42251,1.32202,0.729943,1.4137,0.670151,1.89405,0.734896,0.73884,1.21355,0.808155,1.0168,0.738747
2,0.863488,0.676563,0.82798,1.08532,0.652358,1.49632,1.54801,1.0881,1.04466,0.495204,1.47805,0.819706,1.03615,0.753699,1.18774,0.900453,1.10574,0.440746,1.25807,0.857505,0.91641,0.803042,0.93244,0.671372,1.10501,1.76898,1.04784,1.12691,1.3881,1.18277,0.804704,1.13977,0.738406,0.901146,1.13683,0.548503,0.765789,1.09653,0.880109,0.912475,0.980353,0.802534,1.07894,1.14034,1.0081,1.19493,1.10154,1.1174,0.915917,1.1402,0.428716,1.17143,0.932029,0.922588,0.600461,1.21127,1.03059,1.0043,1.22634
3,1.25311,2.10169,0.814376,0.99091,1.16586,0.821762,1.03798,0.538456,0.895475,0.977017,0.968506,0.970328,0.778749,0.912306,1.29089,1.4344,0.942674,0.979039,0.744328,0.845243,1.68388,0.940944,0.773746,1.71693,0.858399,0.98353,1.60923,0.84655,0.725752,1.15839,0.736549,0.895436,1.17634,0.912492,1.09619,1.03288,2.93745,0.736536,1.41068,0.781877,0.747489,1.02016,1.2344,1.03083,1.31993,0.567082,0.648905,1.68036,1.24508,0.542971,1.39604,0.969778,1.65157,0.916157,0.922338,0.90092,1.31841,1.19099,1.2057
4,0.520255,0.41229,0.51134,1.50823,0.188218,0.917499,2.91844,0.814474,0.549504,0.458967,0.997693,0.706614,1.69524,0.97577,0.733455,0.398503,0.785594,0.175589,1.0065,0.766938,0.56139,1.02141,0.965692,0.376466,1.41527,1.55707,1.26718,0.909012,1.07884,1.60154,1.11307,1.08223,0.369475,0.841932,1.12955,0.201254,1.14405,0.693652,2.31808,0.714462,1.17845,0.851591,1.00308,0.786831,1.95626,1.16471,2.17028,0.789763,0.97177,0.541837,0.218998,0.990072,1.02177,0.876832,0.399406,1.15946,1.25146,1.2042,0.960038
5,0.497319,0.674027,1.06479,1.29525,0.314239,1,2.08219,1.501,1.64964,2.53211,1.36785,1,1,0.61895,1.2526,0.880986,0.671524,1,0.968387,1.191,0.890954,0.949338,0.56521,0.353148,1.0229,1.57168,0.931195,1,1,1.06251,1.10017,1.03109,1,1,1.46115,0.469122,1.48337,0.796983,1.32651,0.944522,1.39533,1.16557,0.933799,0.721582,1.32604,1.47421,1,0.622535,1.20137,0.850704,0.330705,1,0.476039,0.841764,0.443814,0.865481,0.710759,1.04217,0.964314
6,0.826007,0.466254,0.871732,1.05804,0.446503,1.13076,1.76158,1.6645,1.01293,0.749441,0.997542,0.667752,1.31439,1.17712,0.920436,0.676249,1.144,0.498484,1.01377,0.986099,1.03136,0.868557,0.849877,0.337661,1.09573,0.451328,1.21216,1.24552,1.38775,1.08038,0.861718,1.17381,0.603548,1.15402,0.969109,0.263906,0.827853,1.08256,1.05899,0.830128,1.24712,0.951987,1.38065,1.17584,1.32105,2.00947,1.43486,0.814955,1.0786,0.945684,0.293166,0.845979,0.986612,1.00371,0.427899,0.858695,0.820414,0.787068,0.855332
8,0.906775,0.901849,1.46663,0.606217,0.603283,1.15238,1.54468,1.93481,1.63675,1.46064,1.30997,0.46104,0.914383,2.20198,0.681453,1.07132,1.31474,1.18666,0.998544,1.05943,0.571729,0.928999,0.672289,0.530954,1.12799,1.76635,1.0169,0.987083,0.863901,0.932281,1.24817,1.21633,0.859301,1.12106,1.02596,0.470773,1.10886,0.878209,1.12606,1,0.921727,0.982346,1.25322,1.08992,0.713049,1.02443,0.9674,1.17245,1.24675,1.1116,0.532025,1.52644,1.28231,1.2906,0.88739,1.13641,1.31546,0.936819,0.90724
10,0.982488,0.764727,0.917585,1.10801,0.91549,0.870703,1.45623,0.94174,1.19086,0.526087,0.827752,0.928856,1.05519,0.971872,0.958444,0.672137,0.97719,1.14919,0.935413,0.940713,0.737653,0.907755,1.26555,0.573392,1.13236,0.61658,0.833495,1.32733,0.813629,0.899885,1.05674,0.908136,1.10034,0.969858,0.685081,0.852173,0.454321,1.0397,1.09212,0.903258,0.991198,1.02833,1.06715,0.994195,1.80709,1.0534,1.25909,0.847196,0.951596,1.07991,0.643785,0.769113,1.26019,1.31311,0.42252,0.737864,1.06647,1.13532,0.780763
13,1.07608,2.1356,1.05285,1.05803,1.60308,0.989329,0.709738,1.44637,1.43376,1.05195,1.05614,1.05827,1.01478,0.83692,1.2321,2.01327,1.19196,1.91208,0.925443,1.04658,1.66675,1.03083,1.13822,3.01322,0.946383,0.836048,1.12883,0.976031,1.03768,0.815958,0.782584,0.946624,1.92351,0.821746,1.62951,6.5236,1.50883,0.879082,0.846937,0.987993,0.741405,0.819529,1.07959,1.05498,1.00241,0.684624,0.779566,1.28032,1.11172,0.991497,2.38393,0.814748,0.756187,1.10377,1.21767,1.09438,0.967117,1.00222,1.23537
14,0.915702,1.01986,0.801005,1.2523,0.680209,1.01003,1.3624,0.852165,0.738337,0.87367,0.908173,0.771508,0.954953,0.886193,1.04663,1.06987,0.915612,1.48241,0.9836,0.852093,0.939858,0.755392,0.602102,0.832248,1.10434,1.30029,0.830096,0.745176,0.992172,1.12037,0.901177,1.15134,0.789405,0.979728,0.974788,1.20575,0.970851,1.04578,0.990174,0.935116,0.941654,1.23199,0.613478,0.902205,1.20869,0.868507,1.06542,0.713024,1.29406,0.868341,0.955242,0.933424,1.02552,1.15481,0.478336,1.20528,1.02244,0.982696,1.28396
15,1.81226,0.989644,0.728985,0.895845,0.756638,1.0637,1.00204,2.05826,0.656124,1.62187,0.954824,1.02159,0.667901,1.65135,0.838432,0.947355,0.945971,0.73095,0.799387,0.906817,1.33937,0.94477,1.60185,1.29215,1.15833,0.917791,0.996402,0.790939,0.547926,1.18387,1.17711,1.07052,0.952374,1.20053,1.1046,0.693618,0.879483,0.843175,1.02287,1.10133,1.06719,1.52367,0.658588,0.848356,1.25305,0.571744,1.69044,1.13155,0.930074,0.664174,1.52845,0.907351,0.934723,1.05726,0.753474,1.48551,1.05427,0.995804,1.6379
17,1.2678,1.02159,1.17907,0.923466,0.912697,1.0226,1.18566,0.798382,0.702252,1.58634,1.15565,0.964343,1.33724,0.753836,0.728853,0.927942,1.2663,1.19751,1.34928,1.20437,1.08535,0.794252,0.611065,0.648122,1.02528,3.37795,1.261,0.908961,1.25268,0.93791,1.38149,1.06496,0.853151,1.6911,1.14902,0.385896,0.859134,1.0484,1.04799,1,0.830507,0.814833,0.793119,0.948995,1.63084,1.06757,1.20936,0.746446,0.853756,1.4205,0.862484,1.11632,1.23008,0.890584,0.817173,1.03603,0.997008,1.2145,0.990553
18,1.15899,0.653031,0.580657,0.967765,0.862134,1.00074,1.01815,1.0858,1.15539,1.23829,0.921199,0.615256,1.79099,0.940214,0.745148,0.469421,0.705227,0.809704,1.0171,0.901413,0.81074,0.959586,1.96249,0.367364,0.944231,1.27986,0.728841,1.03935,0.700774,0.974486,0.84459,0.897051,0.558499,0.846048,0.865866,0.183534,0.869464,1.01078,1.054,0.934734,0.900703,1.12268,1.50517,0.999445,1.21196,1.11139,1.19136,1.00102,0.774701,0.996344,1.28719,0.852333,1.23518,1.04963,0.70593,0.732501,1.07679,0.925394,1.0699
19,0.620563,0.511014,1.21915,0.995258,0.877571,0.922546,1.2962,1.09457,0.620904,0.82144,0.698358,0.811956,1.14564,0.857962,0.780564,0.727451,0.957339,0.503729,0.948384,1.0052,0.816058,1.04706,0.63508,0.538683,1.17278,2.07362,1.06576,0.843087,1.24363,1.08968,1.064,1.16593,0.746538,0.917923,0.94077,0.448942,1.0547,0.87731,1.37071,0.870256,0.799184,1.22737,0.80959,0.997444,1.25569,1.16822,1.31247,0.929566,0.903161,0.912995,0.520856,1.03708,1.2414,1.00747,0.316006,1.00143,0.864503,1.17821,0.947395
20,0.710573,0.848261,0.811942,0.98645,0.695874,0.997018,1.44009,1.48746,0.772136,0.768964,1.2802,0.951859,1.28322,0.932152,0.978194,0.893235,0.919632,0.688657,1.25104,0.969657,1.01134,0.807452,0.658225,0.688219,1.02245,1.71235,0.918014,1.13768,0.627198,1.08447,0.877453,1.0422,0.888498,1.01323,0.97943,0.726733,0.661285,0.99351,1.18661,1.24263,1.09773,0.753843,1.23664,1.0791,1.19615,1.42587,1.10906,0.770394,1.15009,1.03195,0.514648,0.584739,0.710167,1.07945,0.312569,0.824538,1.06661,0.975075,0.87934
21,0.837782,0.265506,0.55178,1.3138,0.212849,1.21648,1.94107,1.33681,0.889057,0.405641,0.827888,0.455637,0.91024,0.872489,1.04348,0.473333,0.952684,0.615548,1.17254,0.984074,1.12119,1.14414,0.90573,0.277411,1.17793,1.20102,0.770252,0.902795,0.573634,1.18917,1.50911,1.22514,0.607784,0.930526,0.84833,0.211177,1.23681,1.08795,0.972363,0.849724,1.25232,0.97396,1.11933,0.926844,1.48475,1.71473,1.43847,0.802155,0.952019,0.774127,0.505647,1.41687,1.52706,0.914611,0.244357,0.745692,1.22635,0.897701,1.15021
